ProductKey,SKU,ProductName,SubcategoryKey,BrandKey,SupplierKey,ABCClass,LifecycleStage,ListPriceUSD,StandardUnitCostUSD,LaunchDate,EndOfLifeDate
1,SKU-0001,Apple AirPods Pro 2 (USB-C),3,4,3,A,Mature,249.0,104.35,2024-06-01,
2,SKU-0002,Apple AirPods 4,3,4,10,B,Mature,129.0,54.86,2024-06-01,
3,SKU-0003,Samsung Galaxy Buds2 Pro,3,29,7,B,Mature,229.0,108.88,2024-06-01,
4,SKU-0004,Samsung Galaxy Buds FE,3,29,3,C,Mature,99.0,56.82,2024-06-01,
5,SKU-0005,Sony WF-1000XM5,3,31,7,B,Mature,299.0,151.68,2024-06-01,
6,SKU-0006,Sony LinkBuds S,3,31,6,C,New,199.0,113.02,2025-01-01,
7,SKU-0007,Anker Soundcore Liberty 4 NC,3,3,10,C,Mature,99.0,53.93,2024-06-01,
8,SKU-0008,Anker Soundcore P40i,3,3,3,A,Mature,59.0,28.56,2024-06-01,
9,SKU-0009,JBL Tune Flex,3,20,10,A,Mature,99.0,53.58,2024-06-01,
10,SKU-0010,JBL Live Pro 2,3,20,10,B,Mature,149.0,60.08,2024-06-01,
11,SKU-0011,Bose QuietComfort Ultra Earbuds,3,10,2,C,Mature,299.0,125.47,2024-06-01,
12,SKU-0012,Jabra Elite 8 Active,3,21,2,C,Mature,199.0,109.31,2024-06-01,
13,SKU-0013,JBL Flip 6,1,20,6,C,Mature,129.0,70.1,2024-06-01,
14,SKU-0014,JBL Charge 5,1,20,1,A,Mature,179.0,79.1,2024-06-01,
15,SKU-0015,JBL Clip 5,1,20,3,B,Mature,79.0,39.15,2024-06-01,
16,SKU-0016,Bose SoundLink Flex,1,10,5,C,New,149.0,75.85,2025-01-01,
17,SKU-0017,Bose SoundLink Micro,1,10,10,C,Mature,119.0,66.19,2024-06-01,
18,SKU-0018,Sonos Roam 2,1,30,10,B,Mature,179.0,91.03,2024-06-01,
19,SKU-0019,Sonos Move 2,1,30,2,C,Mature,449.0,212.94,2024-06-01,
20,SKU-0020,Anker Soundcore Motion 300,1,3,9,C,Mature,79.0,36.92,2024-06-01,
21,SKU-0021,Anker Soundcore Boom 2,1,3,1,C,Mature,129.0,61.49,2024-06-01,
22,SKU-0022,Sony SRS-XB100,1,31,8,B,Mature,59.0,30.52,2024-06-01,
23,SKU-0023,Sony ULT Field 1,1,31,9,A,Mature,129.0,71.74,2024-06-01,
24,SKU-0024,Ultimate Ears Wonderboom 4,1,35,9,C,Mature,99.0,47.69,2024-06-01,
25,SKU-0025,Samsung HW-Q600C,2,29,3,B,Mature,499.0,221.86,2024-06-01,
26,SKU-0026,Samsung HW-B550,2,29,9,B,Mature,279.0,123.49,2024-06-01,
27,SKU-0027,Sonos Beam Gen 2,2,30,2,C,Mature,499.0,266.61,2024-06-01,
28,SKU-0028,Sonos Ray,2,30,6,C,Mature,279.0,152.61,2024-06-01,
29,SKU-0029,Bose Smart Soundbar 600,2,10,5,C,Mature,499.0,209.06,2024-06-01,
30,SKU-0030,Bose TV Speaker,2,10,4,C,Mature,279.0,114.94,2024-06-01,
31,SKU-0031,Sony HT-S400,2,31,1,B,EOL,299.0,151.59,2024-06-01,2026-02-01
32,SKU-0032,Sony HT-A3000,2,31,8,A,New,499.0,212.73,2025-06-01,
33,SKU-0033,JBL Bar 5.0 MultiBeam,2,20,4,C,Mature,399.0,218.83,2024-06-01,
34,SKU-0034,JBL Bar 300,2,20,7,B,New,349.0,159.1,2025-07-01,
35,SKU-0035,Vizio V-Series V21,2,36,5,A,Mature,179.0,76.24,2024-06-01,
36,SKU-0036,Polk Audio Signa S4,2,27,4,B,Mature,399.0,225.74,2024-06-01,
37,SKU-0037,TP-Link Kasa EP25,8,33,9,C,Mature,25.0,10.74,2024-06-01,
38,SKU-0038,TP-Link Kasa EP10,8,33,1,B,Mature,15.0,6.77,2024-06-01,
39,SKU-0039,TP-Link Tapo P125M,8,33,8,B,Mature,18.0,7.7,2024-06-01,
40,SKU-0040,TP-Link Tapo P110,8,33,8,B,Mature,20.0,8.42,2024-06-01,
41,SKU-0041,Belkin Wemo Smart Plug,8,8,4,C,Mature,25.0,10.1,2024-06-01,
42,SKU-0042,Amazon Smart Plug,8,2,3,A,EOL,25.0,10.25,2024-06-01,2026-03-01
43,SKU-0043,Govee Smart Plug,8,16,1,C,EOL,15.0,6.47,2024-06-01,2026-02-01
44,SKU-0044,Meross Smart Plug Mini,8,23,10,C,Mature,13.0,5.32,2024-06-01,
45,SKU-0045,Samsung SmartThings Outlet,8,29,10,B,Mature,35.0,17.72,2024-06-01,
46,SKU-0046,Philips Hue Smart Plug,8,26,3,C,Mature,40.0,20.9,2024-06-01,
47,SKU-0047,Eve Energy,8,12,1,C,Mature,40.0,18.83,2024-06-01,
48,SKU-0048,TP-Link Kasa KP125M,8,33,2,C,Mature,27.0,12.35,2024-06-01,
49,SKU-0049,Ring Indoor Cam (2nd Gen),6,28,1,A,EOL,60.0,29.45,2024-06-01,2025-12-01
50,SKU-0050,Ring Stick Up Cam Battery,6,28,9,B,EOL,100.0,55.75,2024-06-01,2025-12-01
51,SKU-0051,Ring Spotlight Cam Plus,6,28,9,C,Mature,170.0,94.04,2024-06-01,
52,SKU-0052,Arlo Pro 5S 2K,6,5,2,C,Mature,250.0,101.96,2024-06-01,
53,SKU-0053,Arlo Essential 2K (2nd Gen),6,5,8,C,Mature,130.0,56.25,2024-06-01,
54,SKU-0054,Wyze Cam v4,6,39,2,A,Mature,36.0,15.93,2024-06-01,
55,SKU-0055,Wyze Cam Pan v3,6,39,4,B,Mature,40.0,17.8,2024-06-01,
56,SKU-0056,"Google Nest Cam (Indoor, Wired)",6,15,6,C,New,100.0,50.28,2025-02-01,
57,SKU-0057,"Google Nest Cam (Outdoor, Battery)",6,15,8,C,EOL,180.0,85.49,2024-06-01,2025-10-01
58,SKU-0058,TP-Link Tapo C211,6,33,9,C,EOL,35.0,14.31,2024-06-01,2026-01-01
59,SKU-0059,TP-Link Kasa Spot KC410S,6,33,1,C,Mature,45.0,21.03,2024-06-01,
60,SKU-0060,Blink Mini 2,6,9,2,B,Mature,40.0,19.77,2024-06-01,
61,SKU-0061,Philips Hue White & Color A19 Starter Kit,7,26,3,C,Mature,130.0,54.38,2024-06-01,
62,SKU-0062,Philips Hue Lightstrip Plus 2m,7,26,4,B,Mature,90.0,49.5,2024-06-01,
63,SKU-0063,Philips Hue Go,7,26,10,C,EOL,80.0,32.75,2024-06-01,2025-09-01
64,SKU-0064,Govee Glide Wall Light,7,16,8,A,EOL,100.0,56.65,2024-06-01,2026-03-01
65,SKU-0065,Govee LED Strip Light M1,7,16,4,C,Mature,60.0,25.07,2024-06-01,
66,SKU-0066,Govee Floor Lamp 2,7,16,10,A,EOL,150.0,82.78,2024-06-01,2026-02-01
67,SKU-0067,LIFX Color A19,7,22,5,C,Mature,35.0,19.69,2024-06-01,
68,SKU-0068,LIFX Lightstrip 2m,7,22,6,C,New,80.0,46.11,2025-02-01,
69,SKU-0069,Nanoleaf Shapes Hexagons (9-pack),7,25,5,C,Mature,200.0,108.87,2024-06-01,
70,SKU-0070,Nanoleaf Essentials A19,7,25,2,C,Mature,20.0,10.81,2024-06-01,
71,SKU-0071,TP-Link Kasa Smart Bulb KL135,7,33,10,C,EOL,13.0,6.7,2024-06-01,2025-09-01
72,SKU-0072,WiZ A19 Color,7,38,1,B,Mature,13.0,7.02,2024-06-01,
73,SKU-0073,Fitbit Charge 6,9,13,2,C,New,160.0,67.88,2025-02-01,
74,SKU-0074,Fitbit Inspire 3,9,13,3,B,Mature,100.0,49.65,2024-06-01,
75,SKU-0075,Fitbit Luxe,9,13,3,C,Mature,130.0,64.03,2024-06-01,
76,SKU-0076,Xiaomi Smart Band 9,9,40,2,B,Mature,45.0,24.95,2024-06-01,
77,SKU-0077,Xiaomi Smart Band 9 Pro,9,40,1,C,Mature,80.0,38.66,2024-06-01,
78,SKU-0078,Garmin Vivosmart 5,9,14,7,A,New,150.0,70.4,2025-06-01,
79,SKU-0079,Garmin Vivofit 4,9,14,10,C,Mature,80.0,41.21,2024-06-01,
80,SKU-0080,Honor Band 9,9,17,2,C,Mature,40.0,17.92,2024-06-01,
81,SKU-0081,Whoop 4.0,9,37,3,A,Mature,239.0,101.61,2024-06-01,
82,SKU-0082,Samsung Galaxy Fit3,9,29,6,B,Mature,60.0,29.16,2024-06-01,
83,SKU-0083,Amazfit Band 7,9,1,10,C,EOL,50.0,23.75,2024-06-01,2026-02-01
84,SKU-0084,Garmin Vivosmart 4,9,14,7,A,Mature,100.0,44.19,2024-06-01,
85,SKU-0085,"Apple Watch SE (2nd Gen, 40mm)",10,4,8,C,Mature,249.0,116.07,2024-06-01,
86,SKU-0086,Apple Watch Series 9 (41mm),10,4,6,B,Mature,399.0,185.91,2024-06-01,
87,SKU-0087,Samsung Galaxy Watch6 (40mm),10,29,5,C,New,299.0,137.23,2025-01-01,
88,SKU-0088,Samsung Galaxy Watch6 Classic (43mm),10,29,2,A,Mature,399.0,186.85,2024-06-01,
89,SKU-0089,Garmin Venu 3,10,14,9,B,Mature,449.0,235.02,2024-06-01,
90,SKU-0090,Garmin Forerunner 265,10,14,9,C,Mature,449.0,203.59,2024-06-01,
91,SKU-0091,Fitbit Versa 4,10,13,1,C,Mature,199.0,113.59,2024-06-01,
92,SKU-0092,Fitbit Sense 2,10,13,8,B,Mature,249.0,140.67,2024-06-01,
93,SKU-0093,Amazfit GTR 4,10,1,1,B,Mature,199.0,96.83,2024-06-01,
94,SKU-0094,Google Pixel Watch 2,10,15,8,B,Mature,349.0,160.23,2024-06-01,
95,SKU-0095,Huawei Watch GT 4 (46mm),10,18,9,C,Mature,249.0,123.6,2024-06-01,
96,SKU-0096,CMF by Nothing Watch Pro,10,11,2,C,Mature,69.0,38.14,2024-06-01,
97,SKU-0097,Anker PowerCore 10000,4,3,5,C,Mature,26.0,13.45,2024-06-01,
98,SKU-0098,Anker PowerCore Essential 20000,4,3,2,B,Mature,50.0,27.24,2024-06-01,
99,SKU-0099,Anker Prime 20K 200W,4,3,6,B,EOL,130.0,64.47,2024-06-01,2025-09-01
100,SKU-0100,Anker MagGo 10K (Qi2),4,3,10,A,New,90.0,46.25,2025-06-01,
101,SKU-0101,Belkin BoostCharge 10K,4,8,1,C,Mature,40.0,18.07,2024-06-01,
102,SKU-0102,Belkin BoostCharge Pro 20K,4,8,4,A,New,70.0,37.26,2025-05-01,
103,SKU-0103,Ugreen Nexode 20000 145W,4,34,10,C,New,80.0,34.91,2025-05-01,
104,SKU-0104,Ugreen 10000 PD 20W,4,34,4,B,EOL,40.0,21.0,2024-06-01,2026-02-01
105,SKU-0105,INIU Power Bank 10000,4,19,2,A,Mature,24.0,13.32,2024-06-01,
106,SKU-0106,Mophie Powerstation XL,4,24,5,A,New,60.0,25.43,2025-07-01,
107,SKU-0107,Baseus Blade 100W 20000,4,7,6,B,Mature,100.0,51.06,2024-06-01,
108,SKU-0108,Samsung 10000 Wireless Battery Pack,4,29,7,C,New,80.0,33.37,2025-06-01,
109,SKU-0109,Anker 735 Nano II 65W,5,3,4,B,Mature,60.0,31.84,2024-06-01,
110,SKU-0110,Anker 511 Nano 30W,5,3,10,A,Mature,23.0,9.55,2024-06-01,
111,SKU-0111,Anker Prime 100W GaN,5,3,6,B,Mature,85.0,48.32,2024-06-01,
112,SKU-0112,Belkin 65W Dual USB-C,5,8,3,C,Mature,45.0,19.11,2024-06-01,
113,SKU-0113,Belkin BoostCharge Pro 108W,5,8,10,A,Mature,90.0,51.53,2024-06-01,
114,SKU-0114,Ugreen Nexode 65W,5,34,10,A,Mature,56.0,30.47,2024-06-01,
115,SKU-0115,Ugreen Nexode 100W,5,34,5,C,Mature,75.0,38.01,2024-06-01,
116,SKU-0116,Apple 20W USB-C Power Adapter,5,4,1,B,Mature,19.0,10.28,2024-06-01,
117,SKU-0117,Samsung 45W Super Fast Charger,5,29,6,C,Mature,40.0,21.72,2024-06-01,
118,SKU-0118,Baseus 65W GaN5 Pro,5,7,6,C,Mature,50.0,28.51,2024-06-01,
119,SKU-0119,Spigen ArcStation Pro 45W,5,32,2,C,EOL,35.0,15.6,2024-06-01,2025-09-01
120,SKU-0120,Aukey Omnia 100W,5,6,7,A,New,70.0,35.43,2025-08-01,
